City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,butaritari,3.0707,172.7902,26.92,75,53,4.11,KI,2023-03-06 17:47:20
69,hobyo,5.3505,48.5268,25.91,75,16,7.36,SO,2023-03-06 17:47:20
70,pevek,69.7008,170.3133,-36.86,98,35,2.23,RU,2023-03-06 17:47:21
71,bethel,41.3712,-73.414,10.2,36,0,5.14,US,2023-03-06 17:47:21
72,saldanha,-33.0117,17.9442,22.03,75,62,9.88,ZA,2023-03-06 17:47:21
73,ilulissat,69.2167,-51.1,0.01,64,0,0.0,GL,2023-03-06 17:47:21
74,thompson,55.7435,-97.8558,-20.91,65,20,2.06,CA,2023-03-06 17:47:21
75,cayenne,4.9333,-52.3333,29.02,70,75,6.69,GF,2023-03-06 17:47:21
76,barrow,71.2906,-156.7887,-10.99,92,40,7.2,US,2023-03-06 17:47:21
77,port elizabeth,-33.918,25.5701,19.16,96,75,4.12,ZA,2023-03-06 17:45:03
78,lompoc,34.6391,-120.4579,12.56,84,75,3.09,US,2023-03-06 17:47:22
79,alofi,-19.0595,-169.9187,26.94,83,100,5.66,NU,2023-03-06 17:47:22
80,bathsheba,13.2167,-59.5167,29.34,65,40,7.2,BB,2023-03-06 17:47:22
81,avera,33.194,-82.5271,24.19,54,31,2.26,US,2023-03-06 17:47:22
82,namatanai,-3.6667,152.4333,25.57,85,100,1.19,PG,2023-03-06 17:47:22
83,yellowknife,62.456,-114.3525,-28.71,76,40,3.09,CA,2023-03-06 17:47:23
84,petropavlovsk-kamchatskiy,53.0452,158.6483,-11.67,85,40,3.0,RU,2023-03-06 17:46:03
85,ponta do sol,32.6667,-17.1,20.95,90,92,3.3,PT,2023-03-06 17:47:23
86,paramonga,-10.6667,-77.8333,24.69,70,100,3.29,PE,2023-03-06 17:47:23
87,seminole,28.7086,-81.2081,31.15,62,0,1.79,US,2023-03-06 17:47:23
88,la rioja,42.25,-2.5,7.88,85,99,1.53,ES,2023-03-06 17:47:23
89,acajutla,13.5928,-89.8275,30.46,54,30,5.09,SV,2023-03-06 17:47:24
90,adamovka,51.5223,59.9396,-1.14,98,90,1.83,RU,2023-03-06 17:47:24
91,kaniama,-7.5667,24.1833,22.61,79,82,2.28,CD,2023-03-06 17:47:24
92,tuatapere,-46.1333,167.6833,8.91,90,66,2.65,NZ,2023-03-06 17:47:24
93,kerema,-7.9631,145.7785,25.45,82,98,1.77,PG,2023-03-06 17:47:24
94,mahebourg,-20.4081,57.7,26.16,83,75,2.06,MU,2023-03-06 17:47:25
95,esperance,-33.8667,121.9,15.56,63,19,3.62,AU,2023-03-06 17:45:03
96,ambulu,-8.345,113.6058,24.34,90,95,0.68,ID,2023-03-06 17:47:25
97,norman wells,65.282,-126.8329,-29.98,76,75,1.54,CA,2023-03-06 17:47:25
98,lorengau,-2.0226,147.2712,26.57,80,98,3.33,PG,2023-03-06 17:47:25
